SHIP;SHIP IMO;SHIP ICES CODE;SHIP HIDE METADATA;WMO;PROGRAM;NETWORKS;SCHEDULE OF OBSERVATION;START DATE;MODEL;TELECOM SERVICE;LATENCY;SHIP2SHORE DATAFORMAT;PARAMETER:MAKE_MODEL;SENSOR SERIALS;SENSOR START DATES;SENSOR HEIGHTS;;
CMA CGM Fort Saint Charles;9809849;;0;4XLPJKF ;VOS-FR;E-SURFMAR;hourly;2020-09-25;EUCAWS;IRIDIUM_SBD;less than 1 hour;#100;"ATM:Vaisala_PTB220;HU:VAISALA_HMP110;WS:GILL_WINDSONIC;WD:GILL_WINDSONIC";";;;";"2020-09-25;2020-09-252020-09-25;2020-09-25";"34.0;40.0;40.0;34.0";;
Sonne;9633927;;0;DBBE;VOS-DE;E-SURFMAR;hourly;2014-02-10;SCAWS;eMail;less than 1 hour;FM13;"ATM:Vaisala_PTB330;HU:E+E ELECTRONIK_E+E33;WS:Lufft_Ventus;WD:Lufft_Ventus;SST:THEODOR FRIEDRICHS_PT100";"1234;2345;3456;3456;4567";"2020-04-29;2020-04-29;2020-04-29;2020-04-29;2017-11-10";"14.0;24.5;21.0;21.0;-2.0";;
Sonne;9633927;;0;TBWDE01;VOS-DE;E-SURFMAR;irregular;2014-07-14;TurboWin;eMail;less than 1 hour;FM13;;;;;;
Seeadler;9191541;;0;HAMGBUL;VOS-DE;E-SURFMAR;hourly;2020-05-13;EUCAWS;IRIDIUM_SBD;less than 1 hour;#100;"ATM:Vaisala_PTB330;HU:E+E ELECTRONIK_E+E33;WS:Lufft_Ventus;SST:THEODOR FRIEDRICHS_PT100";"00373823;00131732;00351351;";"2020-05-13;2020-05-13;2020-05-13;2018-08-01";"8.0;18.0;26.0;-2.0";;
Carnival Spirit;9188647;;0;9HA3097;VOS-AU;;Irregular;2013-08-01;TurboWin;email;less than 1 hour;FM13;ATM:Vaisala_PTB330;G2440002;08/01/2013;34;;
James Cook;9338242;;1;MLRM6;VOS-GB;E-SURFMAR;Irregular;2006-10-30;VOS TBW+;eMail;less than 1 hour;FM13;"ATM:Vaisala_PTB330;ATM:BAROMETER_ANEROID_DIGITAL_OTHER;TWB:ZEAL_ORD_2C;TWB:ZEAL_ORD_2C";"M4320072;M02308/75;35747/17;35874/17";"2006-10-30;2006-10-30;2006-10-30;2006-10-30";"17.3;17.3;17.0;17.0";;

