PTF FAMILY,PTF TYPE,PTF MODEL,AGENCY
Moored Buoy,Tropical Moored Buoy,PIRATA,
Moored Buoy,Tropical Moored Buoy,RAMA,
Moored Buoy,Tropical Moored Buoy,TAO_REFRESH,
Moored Buoy,Tropical Moored Buoy,T_FLEX,
Moored Buoy,Tropical Moored Buoy,TRITON,
Moored Buoy,Tsunameter Buoy,DART,
Moored Buoy,Tsunameter Buoy,DART_II,
Moored Buoy,Tsunameter Buoy,Other Tsunameter Buoy,
Moored Buoy,Wave Moored Buoy,Datawell,
Moored Buoy,Wave Moored Buoy,Other Wave Buoy,
Moored Buoy,Wave Moored Buoy,SEAWATCH,
Moored Buoy,Wave Moored Buoy,SEAWATCH-MINI,
Moored Buoy,Wave Moored Buoy,SMART-820,
Moored Buoy,Wave Moored Buoy,WAVEBUOY,
Moored Buoy,Wave Moored Buoy,WAVESCAN,
Mooring,Benthic Mooring,Benthic Mooring Custom,
Mooring,Mooring,CABLED_OBSERVATORY,
Mooring,Mooring,Mooring Custom,
Mooring,Mooring,Sound Source Mooring,
Mooring,Subsurface Mooring,Subsurface Mooring Custom,
Ship Weather Station,VOS Automatic Weather Station,AEMET SYSTEM,
Ship Weather Station,VOS Automatic Weather Station,AMOS,UK Meteorological Office
Ship Weather Station,VOS Automatic Weather Station,AMOS2X,
Ship Weather Station,VOS Automatic Weather Station,AVOS,"Axys Technologies, Inc."
Ship Weather Station,VOS Automatic Weather Station,AWS430,VAISALA
Ship Weather Station,VOS Automatic Weather Station,BAROS,Meteo France
Ship Weather Station,VOS Automatic Weather Station,BATOS,Meteo France
Ship Weather Station,VOS Automatic Weather Station,CES SYSTEM,
Ship Weather Station,VOS Automatic Weather Station,DBI DECK DRIFTER,
Ship Weather Station,VOS Automatic Weather Station,EUCAWS/NEPTUNE,STERELA
Ship Weather Station,VOS Automatic Weather Station,FUGRO SYSTEM,
Ship Weather Station,VOS Automatic Weather Station,GENERIC AUTO,
Ship Weather Station,VOS Automatic Weather Station,KM BLUE INSIGHT,KONGSBERG
Ship Weather Station,VOS Automatic Weather Station,KMA SYSTEM,
Ship Weather Station,VOS Automatic Weather Station,MAWS 410,VAISALA
Ship Weather Station,VOS Automatic Weather Station,MERCURY,STERELA
Ship Weather Station,VOS Automatic Weather Station,MET SERVICE NZ SYSTEM,Sutron Corporation
Ship Weather Station,VOS Automatic Weather Station,METNO SYSTEM,NORWEGIAN METEOROLOGICAL INSTITUTE
