"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"SK SATO"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SK TAO KEIRYOKI MFG. CO. LTD. / 7610-20"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"7610-20"|"SLP"|"NA"
"STARPATH MINTAKA "|"MINTAKA"|"STAR"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"STOCKBURGER"|"STOCKBURGER"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SUNDO TYPE 61"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNDO"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNDO--61"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNDO-61"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNDO-GERMANY"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNOH -  SBR502"|"SANOH INSTRUMENT CO. LTD."|"SBR502"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNOH 000131"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000131"|"SLP"|"NA"
"SUNOH 00253"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"00253"|"SLP"|"NA"
"SUNOH 00505"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"00505"|"SLP"|"NA"
"SUNOH INSTRUMENT CO LTD"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SUNOH INSTRUMENT CO LTD."|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SUNOH S8 II"|"SANOH INSTRUMENT CO. LTD."|"S8  II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNOH UNKNOWN"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"SUNOH"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SUNOH/000131"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000131"|"SLP"|"NA"
"SUNOH/000225"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000225"|"SLP"|"NA"
"SUNOH/000253"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000253"|"SLP"|"NA"
"SUNOH/000332"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"000332"|"SLP"|"NA"
"SUNOH/008157"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"008157"|"SLP"|"NA"
"SUNOH/332"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"332"|"SLP"|"NA"
"SUNOH/67"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"67"|"SLP"|"NA"
"SUNOH/8157"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8157"|"SLP"|"NA"
"SUNOH/8558"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8558"|"SLP"|"NA"
"SUNOH/908334"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"908334"|"SLP"|"NA"
"SUNOH/908335"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"908335"|"SLP"|"NA"
"SUNOH/94"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"94"|"SLP"|"NA"
"SUNOH/UNKNOWN"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sanoh - Type S8 II"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sanoh Instrument Co. Type SBR-502"|"SANOH INSTRUMENT CO. LTD."|"SBR502"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sanoh instrument Co LTD, type CS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sanoh s8"|"SANOH INSTRUMENT CO. LTD."|"S8"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sato Keiryoki / Japan"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sato Keriyoki M.F.G. Co. Ltd Japan S53"|"SATO KEIRYOKI"|"S53"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sato"|"SATO KEIRYOKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Seatex HMS 100"|"KONGSBERG"|"HMS 100"|"BAROMETER_WEATHERSTATION"|"UNKNOWN"|"SLP"|"NA"
"Sestrel"|"SESTREL"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Setrel"|"SESTREL"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Shanghai Yipin Instruments and Meters Co. Ltd"|"SHANGHAI YIPIN INSTRUMENTS AND METERS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Ship Owned"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Ships AN"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Ships Aneroid"|"UNKNOWN"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Ships Barometer"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Starpath Mintaka Duo"|"MINTAKA"|"STAR"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Stockburger"|"STOCKBURGER"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunch EIWA CS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sundick"|"SUNDICK"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Sundo Type 61"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sundo Type Nr. 61 Baumuster DHI 82/01/1/79"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sundo"|"SUNDO"|"TYPE 61"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh  Type S8"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh (Sanoh instrument co. ltd.)"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh - type S8II"|"SANOH INSTRUMENT CO. LTD."|"S8  II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh EIWA CS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh EIWA"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh Instrument co ltd."|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh Type S8 II"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh Type S8"|"SANOH INSTRUMENT CO. LTD."|"S8"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh Type SBR-502"|"SANOH INSTRUMENT CO. LTD."|"SBR502"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Sunoh"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"SunohCS-21"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TAKABOSHI"|"TAKABOSHI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TAKAHASHI / 8861"|"TAKAHASHI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8861"|"SLP"|"NA"
"TAKAHASHI 10145"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"10145"|"SLP"|"NA"
"TAKAHASHI 8719"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"8719"|"SLP"|"NA"
"TAKAHASHI"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TAKAHASHI/10145"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"10145"|"SLP"|"NA"
"TAKAHASHI/3905"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"3905"|"SLP"|"NA"
"TAKAHASHI/4131"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"4131"|"SLP"|"NA"
"TAKAHASHI/5655"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"5655"|"SLP"|"NA"
"TAKAHASHI/UNKNOWN"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TAMAYA"|"TAMAYA"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TAYLOR"|"TAYLOR"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"THEODOR FREIDRICH"|"THEODOR FREIDRICH"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"THEODOR FREIDRICH/50200000"|"THEODOR FREIDRICH"|"UNKNOWN"|"UNKNOWN"|"50200000"|"SLP"|"NA"
"THIES CLIMA/98071"|"THIES CLIMA"|"UNKNOWN"|"UNKNOWN"|"98071"|"SLP"|"NA"
"TOKYO OTA / type 9A05"|"OTA KEIKI SEISAKUSHO"|"9A-05"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TOSCHER"|"TOSCHER"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TRANSFER BAROMETER NEGRETTI AND ZAMBRA MK II"|"NEGRETTI AND ZAMBRA"|"MK II"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TRANSINSTRUMENTS"|"TRANSINSTRUMENTS"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"TSUKUBA 000388"|"SANOH INSTRUMENT CO. LTD"|"UNKNOWN"|"UNKNOWN"|"000388"|"SLP"|"NA"
"TSUKUBA SANOH INSTRUMENT CO. LTD JAPAN   CS-21/ S"|"SANOH INSTRUMENT CO. LTD."|"CS-21"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TSUKUBA"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TSUKUBASUNOH"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TWIN DIAPHRAGM DOPPELDOSE"|"BARIGO"|"TWIN DIAPHRAGM"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TWIN DIAPHRAGMDOPPELDOSE"|"BARIGO"|"TWIN DIAPHRAGM"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TYPE M2236 NEGRETTI AND ZAMBRA MK II"|"NEGRETTI AND ZAMBRA"|"MK II"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Tagashaki"|"TAGASHAKI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Takahashi"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Takanashi Osaka"|"TAKAHASHI"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Taylor"|"TAYLOR"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Terasaki Electric - Model WE300"|"Terasaki Electric"|"WE300"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Test"|"TEST"|"TEST"|"TEST"|"TEST"|"SLP"|"NA"
"Theodor Friedrichs and Co."|"THEODOR FREIDRICH"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Thies Clima"|"THIES CLIMA"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Tsukuba SUNOH Japan, Type S8 II"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Tsukuba Sunoh S8 II"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Tsukuba Sunoh"|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Tsukuba sanoh "|"SANOH INSTRUMENT CO. LTD."|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Twin Diathram Doppeloose \"Observator\""|"BARIGO"|"TWIN DIAPHRAGM"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"TypeS8II"|"SANOH INSTRUMENT CO. LTD."|"S8 II"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"UNKNOWN 98501"|"OTA KEIKI SEISAKUSHO"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"98501"|"SLP"|"NA"
"UNKNOWN UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"UNKNOWN/10096"|"YANAGI"|"UNKNOWN"|"UNKNOWN"|"10096"|"SLP"|"NA"
"UNKNOWN/16549"|"YANAGI"|"UNKNOWN"|"UNKNOWN"|"16549"|"SLP"|"NA"
"UNKNOWN/16785"|"YANAGI"|"UNKNOWN"|"UNKNOWN"|"16785"|"SLP"|"NA"
"US Naval Weather Command"|"US Naval Weather Command"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"US Weather Bureau"|"US Weather Bureau"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"UTSUKI 40009"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"40009"|"SLP"|"NA"
"UTSUKI 8533"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8533"|"SLP"|"NA"
"UTSUKI 8768"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8768"|"SLP"|"NA"
"UTSUKI 8951"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8951"|"SLP"|"NA"
"UTSUKI 8973"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8973"|"SLP"|"NA"
"UTSUKI 9043"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9043"|"SLP"|"NA"
"UTSUKI 9171"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9171"|"SLP"|"NA"
"UTSUKI 9207"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9207"|"SLP"|"NA"
"UTSUKI 9305"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9305"|"SLP"|"NA"
"UTSUKI 9341"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9341"|"SLP"|"NA"
"UTSUKI 9342"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9342"|"SLP"|"NA"
"UTSUKI 9363"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9363"|"SLP"|"NA"
"UTSUKI 9394"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9394"|"SLP"|"NA"
"UTSUKI 9431"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9431"|"SLP"|"NA"
"UTSUKI 9498"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9498"|"SLP"|"NA"
"UTSUKI 9500"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9500"|"SLP"|"NA"
"UTSUKI 9716"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9716"|"SLP"|"NA"
"UTSUKI KEIKI / 1982 YOKOHAMA"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"UTSUKI KEIKI"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"UTSUKI KEIKI/9349"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"UTSUKI"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"UTSUKI/32970"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"32970"|"SLP"|"NA"
"UTSUKI/33189"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"33189"|"SLP"|"NA"
"UTSUKI/34113"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"34113"|"SLP"|"NA"
"UTSUKI/34294"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"34294"|"SLP"|"NA"
"UTSUKI/34297"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"34297"|"SLP"|"NA"
"UTSUKI/40009"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"40009"|"SLP"|"NA"
"UTSUKI/40015"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"40015"|"SLP"|"NA"
"UTSUKI/40078"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"40078"|"SLP"|"NA"
"UTSUKI/8121"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8121"|"SLP"|"NA"
"UTSUKI/8391"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8391"|"SLP"|"NA"
"UTSUKI/8515"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8515"|"SLP"|"NA"
"UTSUKI/8633"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8633"|"SLP"|"NA"
"UTSUKI/8657"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8657"|"SLP"|"NA"
"UTSUKI/8662"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8662"|"SLP"|"NA"
"UTSUKI/8683"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8683"|"SLP"|"NA"
"UTSUKI/8716"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8716"|"SLP"|"NA"
"UTSUKI/8747"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8747"|"SLP"|"NA"
"UTSUKI/8768"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8768"|"SLP"|"NA"
"UTSUKI/8771"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8771"|"SLP"|"NA"
"UTSUKI/8862"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8862"|"SLP"|"NA"
"UTSUKI/8951"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"8951"|"SLP"|"NA"
"UTSUKI/9017"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9017"|"SLP"|"NA"
"UTSUKI/9043"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9043"|"SLP"|"NA"
"UTSUKI/9052"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9052"|"SLP"|"NA"
"UTSUKI/9060"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9060"|"SLP"|"NA"
"UTSUKI/9080"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9080"|"SLP"|"NA"
"UTSUKI/9171"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9171"|"SLP"|"NA"
"UTSUKI/9174"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9174"|"SLP"|"NA"
"UTSUKI/9207"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9207"|"SLP"|"NA"
"UTSUKI/9223"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9223"|"SLP"|"NA"
"UTSUKI/9305"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9305"|"SLP"|"NA"
"UTSUKI/9313"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9313"|"SLP"|"NA"
"UTSUKI/9341"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9341"|"SLP"|"NA"
"UTSUKI/9342"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9342"|"SLP"|"NA"
"UTSUKI/9363"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9363"|"SLP"|"NA"
"UTSUKI/9379"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9379"|"SLP"|"NA"
"UTSUKI/9388"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9388"|"SLP"|"NA"
"UTSUKI/9394"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9394"|"SLP"|"NA"
"UTSUKI/9431"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9431"|"SLP"|"NA"
"UTSUKI/9452"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9452"|"SLP"|"NA"
"UTSUKI/9473"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9473"|"SLP"|"NA"
"UTSUKI/9494"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9494"|"SLP"|"NA"
"UTSUKI/9498"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9498"|"SLP"|"NA"
"UTSUKI/9500"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9500"|"SLP"|"NA"
"UTSUKI/9502"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"9502"|"SLP"|"NA"
"UTSUKI/UNKNOWN"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Unknown"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Utsuki Keiki"|"UTSUKI KEIKI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"VAIS PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA  PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA "|"VAISALA"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"VAISALA / PA 11A"|"VAISALA"|"PA11"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA DPA21"|"VAISALA"|"DPA21"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PA11"|"VAISALA"|"PA11"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PIB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA242"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA242"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA243"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA243"|"SLP"|"NA"
